Metrics\Shifts,-75,-60,-45,-30,-15,0,15,30,45,60,75
MSE,0.084552,0.05451586,0.03084957,0.013766662,0.0034528149,0.0,0.0032899946,0.01238492,0.025793929,0.039564155,0.04951564
MAE,0.28916356,0.23262545,0.17523427,0.11716562,0.05872638,0.0,0.05665735,0.10848413,0.1543253,0.18815409,0.20714262
MII,4.85368055474686,4.879449451587333,4.897960217638687,4.911189062418423,4.920164325728808,4.924554230939208,4.7142692964963695,4.35714460665701,3.78299426576966,2.6380467138273103,1.7862133543114476
PSNR,10.728761,12.63477,15.107508,18.611712,24.618265,inf,24.828047,19.071068,15.884825,14.02698,13.052575
NCC,0.9629404,0.98340225,0.9938569,0.9984667,0.9998808,1.0,0.9987712,0.9908198,0.9701877,0.93769675,0.90720123
SSIM,0.8490092,0.9068404,0.9494729,0.97861856,0.9948594,1.0,0.99274427,0.9636586,0.91012704,0.8327574,0.76036894
