Metrics\Shifts,-75,-60,-45,-30,-15,0,15,30,45,60,75
MSE,0.08414201,0.054292522,0.030731438,0.013730056,0.0034467774,0.0,0.003252849,0.012019406,0.024351964,0.03747756,0.048692465
MAE,0.28815475,0.23188479,0.17472735,0.11694658,0.0586489,0.0,0.056280594,0.10633414,0.14855585,0.1806986,0.2020592
MII,4.958839666837983,4.986736128725831,5.008244639296813,5.0246452770812615,5.035941290761726,5.04347455336389,4.779883398586803,4.31499412277909,3.657924238314924,2.784239017561435,1.9765123323173892
PSNR,10.74987,12.652599,15.12417,18.623276,24.625868,inf,24.877361,19.201168,16.134659,14.262287,13.125382
NCC,0.9536655,0.97796476,0.9912349,0.99754035,0.9997253,1.0,0.9988955,0.9911782,0.97209823,0.94122607,0.9059926
SSIM,0.83561265,0.8972823,0.9443064,0.9764061,0.99444747,1.0,0.9918309,0.952739,0.86107486,0.7120333,0.5583892
