Metrics\Shifts,-75,-60,-45,-30,-15,0,15,30,45,60,75
MSE,0.08410626,0.05421731,0.03076812,0.0137794325,0.0034578217,0.0,0.0033307604,0.01257179,0.02681122,0.041904308,0.05055732
MAE,0.28770345,0.2315449,0.17488992,0.117257155,0.05879389,0.0,0.057311486,0.109911844,0.1584749,0.19563742,0.21220022
MI,4.642547653867281,4.663957147666679,4.679634332863575,4.692778322769287,4.704077248065564,4.706378102657908,4.521253082305557,4.227376064966866,3.852632789316525,2.49061045627399,1.5354273440108939
NMI,0.993195579129584,0.9954830468713348,0.9971547259813647,0.9985541303249246,0.9997555300677702,1.0,0.9801352340284353,0.9477461626910778,0.9047641853066016,0.7274606329775298,0.5711776797478979
PSNR,10.751717,12.65862,15.11899,18.607687,24.611973,inf,24.774565,19.006027,15.716834,13.777412,12.962159
NCC,0.9590102944292634,0.9836432706294868,0.9951298055438583,0.9991813609510466,0.999968196459255,0.9999999999999999,0.9992044615976509,0.9918104241546662,0.9706360219657418,0.9362197423011577,0.9103014996391692
Nx2CC,0.9795051472146317,0.9918216353147433,0.9975649027719291,0.9995906804755232,0.9999840982296275,1.0,0.9996022307988255,0.9959052120773331,0.985318010982871,0.9681098711505789,0.9551507498195846
SSIM,0.8441445,0.8988943,0.939621,0.97080666,0.9923295,1.0,0.9936681,0.97505176,0.94741505,0.91081005,0.8764594
NSSIM,0.9220722615718842,0.9494471549987793,0.9698104858398438,0.9854033291339874,0.9961647391319275,1.0,0.9968340396881104,0.9875258803367615,0.973707526922226,0.9554050266742706,0.9382297098636627
