Metrics\Shifts,-75,-60,-45,-30,-15,0,15,30,45,60,75
MSE,0.08470669,0.054602187,0.030895619,0.013796222,0.0034589425,0.0,0.003411923,0.013062202,0.026901083,0.04050001,0.04940743
MAE,0.28948802,0.23283298,0.17541358,0.11735943,0.058808614,0.0,0.058244128,0.11321281,0.16060497,0.19405174,0.21110499
MI,4.69282067347455,4.711716175451225,4.727627628217219,4.73965657890956,4.7471655381115445,4.748574494140179,4.672758236400199,4.363936283638892,3.6808332745274663,2.458565920102369,1.4655613231480897
NMI,0.9941120811773005,0.9961114518671877,0.9977919671269279,0.9990605489939731,0.9998516333102494,1.0,0.9919848240008674,0.9586444730830697,0.8804231336921629,0.7195472221367435,0.5555464412168654
PSNR,10.720822,12.627899,15.10103,18.602398,24.610565,inf,24.670006,18.839836,15.702301,13.925448,13.062077
NCC,0.9674569223002586,0.9869461589942465,0.9960944642024763,0.9993768061408497,0.9999846561774991,1.0,0.9995975755419202,0.995156663791498,0.9785323492510989,0.945447540557497,0.9121660419601563
Nx2CC,0.9837284611501294,0.9934730794971233,0.9980472321012381,0.9996884030704248,0.9999923280887495,1.0,0.9997987877709601,0.997578331895749,0.9892661746255494,0.9727237702787486,0.9560830209800781
SSIM,0.8509994,0.9066917,0.9488124,0.9778224,0.9945591,1.0,0.99471486,0.97118205,0.91304433,0.8060961,0.7086435
NSSIM,0.9254997074604034,0.9533458352088928,0.9744062125682831,0.9889112114906311,0.997279554605484,1.0,0.9973574280738831,0.9855910241603851,0.9565221667289734,0.903048038482666,0.8543217480182648
