Metrics\Shifts,0.0,0.2,0.4,0.6,0.8,1.0,1.2,1.4,1.6,1.8,2.0
MSE,0.5798759,0.37111366,0.2087504,0.0927855,0.02319831,0.0,0.018439135,0.041689288,0.050135266,0.05595632,0.060245838
MAE,0.7436592,0.59492165,0.44619018,0.2974691,0.14873765,0.0,0.12959865,0.1920053,0.20840755,0.2178287,0.22402917
MI,-3.2938400813288526e-16,3.1072691253083637,3.7741326867471687,4.152079331209954,4.429061996254982,4.706378102657908,3.9643901366332086,1.5904899940763646,1.117219957949689,0.8406189539034409,0.68605416384751
NMI,-1.4834136962890625,0.8125423905943869,0.8954991436909769,0.9392677565009704,0.9700909930458873,1.0,0.9177930952887605,0.5813290999662338,0.48722092872888373,0.42262597107164235,0.3817998864469533
PSNR,2.3666494,4.3049307,6.8037267,10.325199,16.345436,inf,17.342594,13.799754,12.998566,12.521508,12.200729
NCC,1,0.99942692307053,0.9998568299290085,0.9999363388698668,0.9999641407316713,0.9999999999999999,0.9753673702412397,0.9138316371025722,0.8689456651678197,0.8271472373238815,0.7908347992107603
Nx2CC,1.0,0.999713461535265,0.9999284149645042,0.9999681694349334,0.9999820703658356,1.0,0.9876836851206199,0.956915818551286,0.9344728325839098,0.9135736186619408,0.8954173996053801
SSIM,0.00025243912,0.33464956,0.6421284,0.8572687,0.9689203,1.0,0.9613414,0.8948673,0.8530106,0.8256628,0.8080952
NSSIM,0.5001262195582967,0.6673247814178467,0.8210642039775848,0.9286343455314636,0.9844601452350616,1.0,0.980670690536499,0.9474336504936218,0.9265052974224091,0.9128313958644867,0.9040476083755493
